JD,mag,I_Magnitude,band,val
2451232.614,14.8,0,Vis.,V
2451249.0479,14.2,0,Vis.,Z
2451250.1159,15.27,0,Vis.,Z
2451251.578,14.2,0,Vis.,V
2451252.1291,15.24,0,Vis.,Z
2451253.0625,15.27,0,Vis.,Z
2451253.568,14.2,0,Vis.,V
2451254.1131,15.16,0,Vis.,Z
2451254.483,14.2,0,Vis.,V
2451255.025,15.27,0,Vis.,Z
2451255.519,14.5,0,Vis.,V
2451255.5465,14.9,0,Vis.,Z
2451260.0527,15.13,0,Vis.,Z
2451261.1,15.13,0,Vis.,Z
2451263.177,15.27,0,Vis.,Z
2451265.512,14.2,0,Vis.,V
2451278.3924,14.6,0,Vis.,V
2451278.467,14.2,0,Vis.,V
2451279.4034,15.0,0,Vis.,Z
2451279.453,15.0,0,Vis.,V
2451282.476,15.0,0,Vis.,V
2451283.4125,14.2,0,Vis.,Z
2451283.502,15.0,0,Vis.,V
2451285.3715,13.45,0,Vis.,Z
2451287.4013,15.0,0,Vis.,Z
2451289.3986,14.2,0,Vis.,Z
2451293.426,14.2,0,Vis.,V
2451305.3888,13.45,0,Vis.,Z
2451305.4326,14.2,0,Vis.,Z
2451305.484,15.0,0,Vis.,Z
2451309.3958,13.45,0,Vis.,Z
2451309.4715,15.0,0,Vis.,Z
2451310.439,15.0,0,Vis.,V
2451311.4375,15.0,0,Vis.,Z
2451311.508,15.0,0,Vis.,V
2451315.442,15.1,0,Vis.,V
2451334.455,14.2,0,Vis.,V
2451334.4875,14.2,0,Vis.,Z
2451336.4798,14.2,0,Vis.,Z
2451337.450,14.2,0,Vis.,V
2451338.462,14.2,0,Vis.,V
2451339.461,14.2,0,Vis.,V
2451344.465,14.2,0,Vis.,V
2451519.7458,14.47,0,Vis.,Z
2451525.7576,13.45,0,Vis.,Z
2451528.7291,14.3,0,Vis.,Z
2451531.7361,14.47,0,Vis.,Z
2451532.7347,14.5,0,Vis.,Z
2451547.7194,14.8,0,Vis.,Z
2451551.7291,14.6,0,Vis.,Z
2451552.7368,14.6,0,Vis.,Z
2451553.7263,14.68,0,Vis.,Z
2451557.7555,14.68,0,Vis.,Z
2451564.6826,15.0,0,Vis.,Z
2451585.5638,15.0,0,Vis.,Z
2451585.6152,15.1,0,Vis.,Z
2451588.6305,15.27,0,Vis.,Z
2451590.7013,14.2,0,Vis.,Z
2451601.5347,14.7,0,Vis.,V
2451604.574,14.9,0,Vis.,V
2451605.5208,15.0,0,Vis.,Z
2451605.5597,15.0,0,Vis.,Z
2451607.531,14.8,0,Vis.,V
2451608.653,14.7,0,Vis.,V
2451614.5722,15.3,0,Vis.,Z
2451618.555,14.2,0,Vis.,V
2451625.60200,17.11,0,CV,Z
2451628.4701,15.13,0,Vis.,Z
2451628.501,15.3,0,Vis.,V
2451629.4298,14.2,0,Vis.,Z
2451629.4708,15.2,0,Vis.,Z
2451629.544,15.0,0,Vis.,V
2451630.4597,15.5,0,Vis.,Z
2451632.5097,15.53,0,Vis.,Z
2451637.3542,15.2,0,Vis.,V
2451640.437,14.9,0,Vis.,V
2451640.5013,15.0,0,Vis.,Z
2451641.418,15.8,0,Vis.,Z
2451641.504,15.1,0,Vis.,V
2451642.4688,15.6,0,Vis.,V
2451644.6388,15.67,0,Vis.,Z
2451656.427,14.2,0,Vis.,V
2451657.4381,15.67,0,Vis.,Z
2451657.535,15.0,0,Vis.,V
2451658.4326,15.8,0,Vis.,Z
2451658.4750,15.4,0,Vis.,V
2451661.4590,15.4,0,Vis.,V
2451664.4131,15.0,0,Vis.,Z
2451664.4152,15.93,0,Vis.,Z
2451664.4625,15.7,0,Vis.,V
2451664.469,15.2,0,Vis.,V
2451665.4375,15.6,0,Vis.,Z
2451665.448,15.0,0,Vis.,V
2451666.4076,14.9,0,Vis.,Z
2451666.4319,14.8,0,Vis.,Z
2451666.479,15.0,0,Vis.,V
2451667.4263,14.4,0,Vis.,Z
2451668.3889,13.3,0,Vis.,V
2451668.6757,13.5,0,Vis.,V
2451670.4500,13.9,0,Vis.,V
2451670.6611,14.1,0,Vis.,V
2451671.4472,14.47,0,Vis.,Z
2451672.445,14.6,0,Vis.,V
2451684.421,15.0,0,Vis.,V
2451686.415,14.2,0,Vis.,V
2451686.4354,15.16,0,Vis.,Z
2451688.491,14.2,0,Vis.,V
2451688.4993,15.27,0,Vis.,Z
2451694.481,14.2,0,Vis.,V
2451695.509,15.4,0,Vis.,Z
2451700.4777,14.2,0,Vis.,Z
2451702.442,15.0,0,Vis.,V
2451907.75,15.7,0,Vis.,Z
2451915.729,15.3,0,Vis.,Z
2451934.8792,14.2,0,Vis.,V
2451936.71,15.8,0,Vis.,Z
2451937.717,15.8,0,Vis.,Z
2451953.5694,13.5,0,Vis.,Z
2451965.4306,15.8,0,Vis.,V
2451965.552,15.7,0,Vis.,Z
2451970.549,14.2,0,Vis.,V
2451971.494,14.2,0,Vis.,V
2451973.685,16.2,0,Vis.,Z
2451982.555,14.2,0,Vis.,V
2451983.472,15.9,0,Vis.,Z
2451983.52,14.2,0,Vis.,V
2451990.7299,14.2,0,Vis.,V
2451996.8035,14.2,0,Vis.,V
2452000.4736,15.4,0,Vis.,
2452000.4743,12.8,0,Vis.,
2452004.458,14.2,0,Vis.,V
2452011.401,15.2,0,Vis.,Z
2452013.4875,15.4,0,Vis.,V
2452013.7424,14.5,0,Vis.,V
2452016.469,14.7,0,Vis.,Z
2452016.498,15.0,0,Vis.,V
2452018.483,14.8,0,Vis.,V
2452018.627,14.8,0,Vis.,Z
2452019.406,14.2,0,Vis.,Z
2452020.406,14.3,0,Vis.,Z
2452020.5,14.6,0,Vis.,
2452020.512,14.7,0,Vis.,V
2452023.413,14.2,0,Vis.,Z
2452023.481,14.5,0,Vis.,V
2452024.441,15.0,0,Vis.,V
2452024.4639,14.8,0,Vis.,V
2452024.596,14.2,0,Vis.,Z
2452025.3576,14.7,0,Vis.,V
2452025.417,14.2,0,Vis.,Z
2452025.522,15.2,0,Vis.,V
